Address,LocationName
"302 Bibb St, Marion, AL 36756",Judson College
"205 North Washington Street, Livingston, AL 35470",University of West Alabama
"1000 Dannelly Blvd., Andalusia, AL 36420-1418",Lurleen B Wallace Community College
"1101 Washington St, Marion, AL 36756",Marion Military Institute
"5500 Myron Massey Blvd, Fairfield, AL 35064",Miles College
"5735 College Parkway Drive, Mobile, AL 36663-0220",University of Mobile
"Station 6001, Montevallo, AL 35115",University of Montevallo
"800 George Wallace Blvd, Muscle Shoals, AL 35661",Northwest-Shoals Community College - Muscle Shoals
"One Harrison Plaza, Florence, AL 35632-0001",University of North Alabama
"138 Alabama Highway 35, Rainsville, AL 35986",Northeast Alabama Community College
"2080 College Road, Phil Campbell, AL 35881",Northwest-Shoals Community College - Phil Campbell
"7000 Adventist Blvd N.W., Huntsville, AL 35896",Oakwood University
"2800 South Alabama Avenue, Monroeville, AL 36460",Alabama Southern Community College
"596 W. Lamont Road, Elmhurst, IL 60126",Prince Institute - Southeast
"I-65 and Highway 83, Evergreen, AL 36401",Reid State Technical College
"351 North Broad Street, Mobile, AL 36603-5362",Bishop State Community College
"800 Lakeshore Drive, Birmingham, AL 35229-2240",Samford University
"9500 Old Greensboro Rd, Tuscaloosa, AL 35405-8522",Shelton State Community College
"220 North Walnut Street, Boaz, AL 35957-0734",Snead State Community College
"307 N University Blvd, Mobile, AL 36688-0002",University of South Alabama
"205 S Main St, Tuskegee, AL 36083-0688",Southern Community College
"4000 Dauphin St, Mobile, AL 36608-1791",Spring Hill College
"2545 Valleydale Road, Birmingham, AL 35244-2083",Southeastern Bible College
"3601 Stillman Boulevard, Tuscaloosa, AL 35403",Stillman College
"627 W Battle St, Talladega, AL 35160",Talladega College
"P. O. Box 10048, Montgomery, AL 36108",H. Councill Trenholm State Community College
"University Avenue, Troy, AL 36082-0001",Troy University
"Kresge Center, 3rd Floor, Tuskegee, AL 36088-1920",Tuskegee University
"One Academy Dr, Daphne, AL 36526-7055",United States Sports Academy
"1411 Indiana Avenue, Jasper, AL 35501",Bevill State Community College
"3211 Providence Drive, Anchorage, AK 99508-8046",University of Alaska Anchorage
"Signers' Hall, Fairbanks, AK 99775-7480",University of Alaska Fairbanks
"11120 Glacier Highway, Juneau, AK 99801-8697",University of Alaska Southeast
"4101 University Dr, Anchorage, AK 99508",Alaska Pacific University
"809 Second Avenue, Seward, AK 99664-0889",Alaska Vocational Technical Center
"2221 E Northern Lights Blvd Ste 120, Anchorage, AK 99508",Charter College
"303 Lowe Street, Valdez, AK 99686",Prince William Sound Community College
"801 Lincoln Street, Sitka, AK 99835-7699",Sheldon Jackson College
"1415 E Tudor Road, Anchorage, AK 99507-1033",Alaska Career College
"10400 N. 25th Avenue, Suite 190, Phoenix, AZ 85021",Everest College - Phoenix
"15249 N 59th Ave, Glendale, AZ 85306-6000",Thunderbird School of Global Management
"10020 N 15th Ave, Phoenix, AZ 85021",American Indian College
"440 S 54th Ave, Phoenix, AZ 85043-4729",American Institute of Trucking
"8503 N 27th Ave, Phoenix, AZ 85051-4063",Carrington College - Phoenix
"399 S. Malpais Ln., 2nd Fl., Flagstaff, AZ 86001",College America - Flagstaff
"5631 E Speedway Blvd, Tucson, AZ 85712",Arizona Academy of Beauty Inc
"6829 N 46th Ave, Glendale, AZ 85301-3579",Arizona Automotive Institute
"6049 N 43rd Ave, Phoenix, AZ 85019-1600",International Institute of the Americas
"P.O. Box 2203, Tempe, AZ 85287",Arizona State University
"P.O. Box 929, Yuma, AZ 85366",Arizona Western College
"1401 E University, Tucson, AZ 85721-0066",University of Arizona
"2525 North Country Club Road, Tucson, AZ 85716",Southwest University of Visual Arts
"15147 North Scottsdale Road, Building H, Suite 300, Scottsdale, AZ 85254",Brillare Hairdressing Academy - Scottsdale
"8470 N Overfield Rd, Coolidge, AZ 85228-9778",Central Arizona College
"1987 McCulloch Blvd, Suite 205, Lake Havasu City, AZ 86403",Charles of Italy Beauty College
"6390 East Broadway Boulevard, Tucson, AZ 85710",Cortiva Institute - Tucson
"750 Bartow Dr, Sierra Vista, AZ 85635-1832",DeVoe College of Beauty
"2111 S Alma School Rd Ste 21, Mesa, AZ 85210",Avalon School of Cosmetology
"615 N. Stadium Ave., Thatcher, AZ 85552-0769",Eastern Arizona College
"Taliesin West, P.O. Box 4430, Scottsdale, AZ 85261",The School of Architecture at Taliesin
"6000 W Olive Ave, Glendale, AZ 85302",Maricopa Community Colleges - Glendale Community College
"3300 W Camelback Rd, Phoenix, AZ 85017",Grand Canyon University
"1515 E Indian School Road, Phoenix, AZ 85014",Anthem College - Phoenix
"1445 West Southern Avenue, Suite 2006, Mesa, AZ 85202",International Academy of Hair Design - Mesa
"875 West Elliot Road, Suite 206, Tempe, AZ 85284",Lamson College
"42 North Stapley Drive, Mesa, AZ",International Academy of Beauty
"13450 N Black Canyon Hwy,  Ste 104, Phoenix, AZ 85029",Kaplan College - Phoenix
"515 W Western Ave, Avondale, AZ 85323",Maricopa Beauty College
"108 N. 40th Street, Phoenix, AZ 85034",Maricopa Community Colleges - Gateway Community College
"1833 W Southern Ave, Mesa, AZ 85202",Maricopa Community Colleges - Mesa Community College
"1971 Jagerson Ave, Kingman, AZ 86409-1238",Mohave Community College
"2844 W Deer Valley Rd, Phoenix, AZ 85027",Motorcycle Mechanics Institute a div. of Universal Technical Institute
"2001 W Camelback, Suite 140, Phoenix, AZ 85015",Mundus Institute
"P.O. Box 126, Tsaile, AZ 86556",Dine College
"P.O. Box 4092, Flagstaff, AZ 86011",Northern Arizona University
"P.O. Box 610, Holbrook, AZ 86025-0610",Northland Pioneer College
"7332 Butherus Drive, Suite 102, Scottsdale, AZ 85260","Paralegal Institute, Inc."
"10820 North 43rd Ave Ste 12, Glendale, AZ 85304",Empire Beauty School - Glendale
"8010 East McDowell Road #214, Scottsdale, AZ 85257",Phoenix Therapeutic Massage College
"4035 South Riverpoint Parkway, Phoenix, AZ 85040-0723",University of Phoenix
"4905C E. Broadway Blvd., Tucson, AZ 85709-1005",Pima Community College
"3350 East Grant Road, Suite 200, Tucson, AZ 85716",Pima Medical Institute
"220 Grove Ave, Prescott, AZ 86301",Prescott College
"4210 E Washington, Phoenix, AZ 85034-1816",Refrigeration School Inc
"1012 NW Grand Ave., Phoenix, AZ 85040",Roberto-Venn School of Luthiery
"1550 West Thatcher Blvd, Safford, AZ 85546",Hair Academy of Safford
"4646 E. Van Buren Street  Suite #350, Phoenix, AZ 85008-1716",Long Technical College - East Valley
"5151 East Broadway Boulevard, Suite 155, Tucson, AZ 85711",Tucson College
"10695 West Pierce Street, Avondale, AZ 85323",Universal Technical Institute of Arizona Inc
"4129 E. Van Buren Street, Suite #100, Phoenix, AZ 85008-6940",Metropolitan College
"1601 W. Fountainhead Parkway, Tempe, AZ 85282",Western International University
"1100 E Sheldon St, Prescott, AZ 86301",Yavapai College
"2801 S University Ave, Little Rock, AR 72204",University of Arkansas at Little Rock
"4301 W Markham, Little Rock, AR 72205",University of Arkansas for Medical Sciences
"203 South 26th Street, Suites B, C & D, Arkadelphia, AR 71923","ABC Beauty College, Inc."
"1600 Dr. Martin Luther King Jr. Drive, Little Rock, AR 72202",Arkansas Baptist College
"8521 Geyer Springs Road, Unit 30, Little Rock, AR 72209",Arkansas Beauty School - Little Rock
"109 N Commerce St, Russellville, AR 72801",Arkansas Beauty College
"2300 Highland Road, Batesville, AR 72503",Lyon College
"200 E Washington Ave, North Little Rock, AR 72114",Arkansas College of Barbering and Hair Design
"2000 North B Street, Fort Smith, AR 72901-3342","Arthur's Beauty College, Inc - Fort Smith"
"Administration Bldg. 425, Fayetteville, AR 72701","University of Arkansas, Fayetteville"
"1200 N University Mail Slot 4789, Pine Bluff, AR 71601",University of Arkansas at Pine Bluff
"P.O. Box 1000, Beebe, AR 72012-1000",Arkansas State University - Beebe
"P.O. Box 600, Jonesboro, AR 72467",Arkansas State University
"Administration Bldg. 200, 1509 North Boulder Avenue, Russellville, AR 72801-2222",Arkansas Tech University
"Highway 425 South, Monticello, AR 71656",University of Arkansas at Monticello
"2600 John Harden Drive, Jacksonville, AR 72076","Arthur's Beauty College, Inc. - Jacksonville"
"11900 Colonel Glenn Road, Suite 1000, Little Rock, AR 72210",Baptist Health Schools Little Rock
"1907 Hinson Loop, Little Rock, AR 72212",Bee-Jay's Hairstyling Academy
"1410 Hwy 304 East, Pocahontas, AR 72455",Black River Technical College
"201 Donaghey Ave, Conway, AR 72035-0001",University of Central Arkansas
"1501 College Ave, Conway, AR 72034",Central Baptist College
"100 E Main St, Blytheville, AR 72315",Creative School of Cosmetology
"183 Hwy 399, De Queen, AR 71832",Cossatot Community College of the University of Arkansas
"100 College Dr, Paragould, AR 72450",Crowley's Ridge College
"1620 Newcastle Road, Forrest City, AR 72335-0925",Crowleys Ridge Technical Institute
"1609 West 26th Street, Pine Bluff, AR 71603-1666",De Luxe Beauty School
"1700 Newcastle Rd, Forrest City, AR 72335",East Arkansas Community College
"200 South University Avenue, Little Rock, AR 72205",Eastern College of Health Vocations
"4201 East McCain Blvd., North Little Rock, AR 72201-2516",Imagine - Paul Mitchell Partner School
"101 College Dr, Hot Springs, AR 71913",National Park College
"2005 White Drive, Batesville, AR 72503-3350",University of Arkansas Community College-Batesville
"915 E. Market Ave., Searcy, AR 72149",Harding University
"1100 Henderson St, Arkadelphia, AR 71999-0001",Henderson State University
"1600 Washington Ave, Conway, AR 72032-3080",Hendrix College
"100 Cones Rd, Hot Springs, AR 71901",Hot Springs Beauty College
"1600 West 40th, Pine Bluff, AR 71603",JRMC School of Nursing
"2000 W University St, Siloam Springs, AR 72761",John Brown University
"2700 West Pershing Boulevard, North Little Rock, AR 72114-3800",Lee's School of Cosmetology
"346 East Robinson Avenue, Springdale, AR 72764",Career Academy of Hair Design
"2020 Vance Street, Little Rock, AR",Little Rock Job Corp Center
"408 Hwy 201 N, Mountain Home, AR 72653-3164",Marsha Kay Beauty College
"311 South 16th Street, Fort Smith, AR 72901",Academy of Salon and Spa
"2000 W.  Broadway, West Memphis, AR 72301-3829",Arkansas State University Mid-South
"2501 South Division Street, Blytheville, AR 72316",Arkansas Northeastern College
"1509 East Main Street, Suite #2, Russellville, AR 72801","Margaret's Hair Academy, Inc."
"1221 E 7th St, North Little Rock, AR 72114-4973",New Tyler Barber College Inc
"1515 Pioneer Dr, Harrison, AR 72601-5508",North Arkansas College
"709 S Old Missouri Road, Springdale, AR 72764",Northwest Technical Institute
"410 Ouachita St, Arkadelphia, AR 71998-0001",Ouachita Baptist University
"One College Cir, Malvern, AR 72104-0816",College of the Ouachitas
"218 College Dr, Melbourne, AR 72556-0010",Ozarka College
"415 N College Ave, Clarksville, AR 72830",University of the Ozarks
"1537 University Blvd., Morrilton, AR 72110",University of Arkansas Community College-Morrilton
"900 W. Daisy Bates Drive, Little Rock, AR 72202-3799",Philander Smith College
"1000 Campus Dr, Helena, AR 72342-0785",Phillips Community College of the University of Arkansas
"1900 South Hazel Street, Pine Bluff, AR 71603",Southeast Arkansas College
"460 North Washington Avenue, El Dorado, AR 71730",Professional Cosmetology Education Center
"3000 West Scenic Drive, North Little Rock, AR 72118",University of Arkansas - Pulaski Technical College
"2500 S Main, Hope, AR 71802-0140",University of Arkansas Community College-Hope
"1100 College Dr, Mena, AR 71953",University of Arkansas Rich Mountain
"4156 North Steele Boulevard, Fayetteville, AR 72703",Paul Mitchell The School Arkansas
"1004 South Main Street, Searcy, AR 72143",Searcy Beauty College Inc
"60 W Fulbright Avenue, Walnut Ridge, AR 72476",Williams Baptist University
"300 S West Ave, El Dorado, AR 71731-7010",South Arkansas Community College
"100 E. University, Magnolia, AR 71753",Southern Arkansas University Main Campus
"P.O. Box 3499, Camden, AR 71711-1599",Southern Arkansas University Tech
"1520 Martin Luther King Dr, Little Rock, AR 72202-5452",Velvatex College of Beauty Culture
"5210 Grand Ave P.O. Box 3649, Fort Smith, AR 72913-3649",University of Arkansas-Fort Smith
"1646 S Olive, Los Angeles, CA 90015-350",Abram Friedman Occupational Center
"79 New Montgomery, San Francisco, CA 94105",Academy of Art University
"1601 Clay St, Oakland, CA 94612",Academy of Chinese Culture and Health Sciences
"16052 Beach Boulevard, Suite 263N, Huntington Beach, CA 92647",Academy of Radio and Television Broadcasting
"1777 N Vine St, Los Angeles, CA 90028-5218",Academy Pacific Travel College
"2318 Central Ave, Alameda, CA 94501",Avalon School of Cosmetology - Alameda
"555 Ralph Appezzato Memorial Parkway, Alameda, CA 94501",College of Alameda
"800 S College Dr, Santa Maria, CA 93454-6399",Allan Hancock College
"2606 Dwight Way, Berkeley, CA 94704-3029",American Baptist Seminary of the West
"2021 North Western Avenue, Los Angeles, CA 90027",American Film Institute
"646 South Sunset Avenue, West Covina, CA 91790",American Beauty College
"4021 Rosewood Avenue, Los Angeles, CA 90004",American Career College
"30 Grant Avenue 7th Floor, San Francisco, CA 94108-5834",American Conservatory Theater
"733 North Dodsworth Avenue, Covina, CA 91724",American Graduate University
"4700 College Oak Dr, Sacramento, CA 95841-4286",American River College
"22336 Main Street, Hayward, CA 94541",Everest Institute - Hayward
"3041 W Ave K, Lancaster, CA 93536-5426",Antelope Valley College
"1700 Lida St, Pasadena, CA 91103",Art Center College of Design
"1670 Wilshire Blvd, Los Angeles, CA 90017-1604",Associated Technical College
"707 Broadway, Suite 300, San Diego, CA 92101-3204",Associated Technical College
"1593 E Vista Way, Suite C, Vista, CA 92084",Associated Technical College
"901 E Alosta Ave, Azusa, CA 91702",Azusa Pacific University
"1801 Panorama Dr, Bakersfield, CA 93305-1299",Bakersfield College
"2700 Barstow Road, Barstow, CA 92311",Barstow Community College
"970 Broadway, Suite 110, Chula Vista, CA 91911",Bellus Academy - National City
"800 Bethany Dr, Scotts Valley, CA 95066-2898",Bethany University
"730 North Euclid St, Anaheim, CA 92801",Bethesda University
"13800 Biola Ave, La Mirada, CA 90639-0001",Biola University
"4825 E. Pacific Coast Hwy, Long Beach, CA 90804",Brooks College
"1110 Technology Cir Ste D, Anaheim, CA 92805",Brownson Technical School
"3536 Butte Campus Drive, Oroville, CA 95965-8399",Butte College
"19900 Plummer Street, Chatsworth, CA 91311",Phillips Graduate University
"1453 Mission St, San Francisco, CA 94103-2257",California Institute of Integral Studies
"6500 Soquel Dr, Aptos, CA 95003",Cabrillo College
"8432 Magnolia Ave, Riverside, CA 92504",California Baptist University
"200 McAllister St, San Francisco, CA 94102",University of California Hastings College of Law
"1200 E California Blvd, Pasadena, CA 91125",California Institute of Technology
"60 W Olsen Rd, Thousand Oaks, CA 91360",California Lutheran University
"1 Grand Avenue, San Luis Obispo, CA 93407",California Polytechnic State University-San Luis Obispo
"10455 Pomerado Road, San Diego, CA 92131",Alliant International University
"9001 Stockdale Hwy, Bakersfield, CA 93311-1022",California State University - Bakersfield
"One University Circle, Turlock, CA 95382",California State University - Stanislaus
"5500 University Pky, San Bernardino, CA 92407-2397",California State University - San Bernardino
"3801 W Temple Ave, Pomona, CA 91768","California State Polytechnic University, Pomona"
"400 West First Street, Chico, CA 95929-0150",California State University - Chico
"1000 E Victoria St, Carson, CA 90747",California State University - Dominguez Hills
"5241 N Maple Ave, Fresno, CA 93740-8027",California State University - Fresno
"800 N State College Blvd, Fullerton, CA 92831-3599",California State University - Fullerton
"25800 Carlos Bee Blvd, Hayward, CA 94542-3011",California State University - East Bay
"1250 Bellflower Blvd, Long Beach, CA 90840-0115",California State University - Long Beach
"5151 State University Dr, Los Angeles, CA 90032",California State University - Los Angeles
"18111 Nordhoff St, Northridge, CA 91330-8230",California State University - Northridge
"6000 J St, Sacramento, CA 95819-6083",California State University - Sacramento
"200 California Hall, Berkeley, CA 94720-1500","University of California, Berkeley"
"One Shields Avenue, Davis, CA 95616-8678",University of California - Davis
"510 Aldrich Hall, Irvine, CA 92697-1000","University of California, Irvine"
"405 Hilgard Ave, Los Angeles, CA 90095",University of California - Los Angeles
"900 University Ave, Riverside, CA 92521","University of California, Riverside"
"9500 Gilman Dr, La Jolla, CA 92093",University of California - San Diego
"500 Parnassus Avenue, MU200W, San Francisco, CA 94143","University of California, San Francisco"
"552 University Road, Santa Barbara, CA 93106-2030","University of California, Santa Barbara"
"1156 High St, Santa Cruz, CA 95064","University of California, Santa Cruz"
"1069 East Meadow Circle, Palo Alto, CA 94303",Sofia University
"1600 California Drive, Vacaville, CA 95688",Mountain Oaks Adult Education Center
"1115 Fifteenth Street, Modesto, CA 95354",California Beauty College
"5364 E. Belmont Avenue, Fresno, CA 93727",California Christian College
"925 North Spurgeon Street, Santa Ana, CA 92701",California Coast University
"6602 Convoy Ct., Ste. 100, San Diego, CA 92111",California College-San Diego
"8011 University Avenue, Suite A-2, La Mesa, CA 91941-5055",California Hair Design Academy
"24700 W McBean Pky, Valencia, CA 91355",California Institute of the Arts
"200 Maritime Academy Drive, Vallejo, CA 94590-8181",California State University Maritime Academy
"225 Cedar St, San Diego, CA 92101-3046",California Western School of Law
"4200 Farm Hill Blvd., Redwood City, CA 94061-1099",Canada College
"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355-1899",College of the Canyons
"12471 Valley View, Garden Grove, CA 92845-0000",Career Academy of Beauty
"6725 Kester Avenue, Van Nuys, CA 91405",Casa Loma College
"3295 Market St, San Diego, CA 92102",Center for Employment Training - San Diego
"701 Vine St, San Jose, CA 95110",Center for Employment Training
"9960 Indiana Ave., Ste. # 9, Riverside, CA 92503",Center for Employment Training - Riverside
"11110 Alondra Blvd, Norwalk, CA 90650-6298",Cerritos College
"3000 College Hts Blvd, Ridgecrest, CA 93555-9571",Cerro Coso Community College
"25555 Hesperian Blvd, Hayward, CA 94545",Chabot College
"5885 Haven Ave, Rancho Cucamonga, CA 91737-3002",Chaffey College
"One University Dr., Orange, CA 92866",Chapman University
"1731 E 120th St, Los Angeles, CA 90059",Charles R. Drew University of Medicine and Science
"1530 Concordia West, Irvine, CA 92612-3299",Concordia University Irvine
"200 Riverview Parkway, Santee, CA 92071",San Diego Christian College
"2451 Ridge Road, Berkeley, CA 94709-1217",Church Divinity School of the Pacific
"1000 W Foothill Blvd, Glendora, CA 91741-1899",Citrus College
"50 Frida Kahlo Way, San Francisco, CA 94112-1898",City College of San Francisco
"150 E Tenth St, Claremont, CA 91711-6160",Claremont Graduate University
"500 E 9th St, Claremont, CA 91711-6400",Claremont McKenna College
"6500 S. Mooney Blvd, Visalia, CA 93277",Milan Institute - Visalia
"1452 David E Cook Way, Clovis, CA 93611",Clovis Adult Education
"1370 Adams Ave, Costa Mesa, CA 92626",Coast Community College District Office
"11460 Warner Ave, Fountain Valley, CA 92708-2597",Coastline Community College
"191 Baypointe Parkway, San Jose, CA 95134",Cogswell Polytechnical College
"8888 Balboa Ave, San Diego, CA 92123",Coleman University
"102 N. Glassell Street, Orange, CA 92866",Coba Cosmetology Academy
"272 S Fries Ave l  Los Angeles Harbor, Wilmington, CA 90744-6399",National Polytechnic College of Science
"309 E Second Street College Plaza, Pomona, CA 91766-1854",Western University of Health Sciences
"11600 Columbia College Dr, Sonora, CA 95370",Columbia College
"18618 Oxnard Street, Tarzana, CA 91356-1411",Columbia College Hollywood
"17940 Monterey Road, Morgan Hill, CA 95037",Morgan Hill Community Adult School
"1111 East Artesia Blvd., Compton, CA 90221-5393",Compton Community College
"8700 Van Nuys Blvd, Panorama City, CA 91402",Western Beauty Institute
"500 Court St, Martinez, CA 94553",Contra Costa Community College District Office
"2600 Mission Bell Dr, San Pablo, CA 94806-3195",Contra Costa College
"8401 Center Pky, Sacramento, CA 95823-5799",Cosumnes River College
"11711 Sand Canyon Road, Yucaipa, CA 92399-1799",Crafton Hills College
"5010 - 11th Avenue, Los Angeles, CA 90043",Crenshaw-Washington Community Adult School
"Highway 1, San Luis Obispo, CA 93403-8106",Cuesta College
"900 Rancho San Diego Pky, El Cajon, CA 92019",Cuyamaca College
"9200 Valley View, Cypress, CA 90630-5897",Cypress College
"21250 Stevens Creek Blvd., Cupertino, CA 95014",De Anza College
"2627 W Florida Ave Ste 100, Hemet, CA 92545",Marinello School of Beauty - Hemet
"Deep Springs Ranch Road, Highway 168, Big Pine, CA 89010",Deep Springs College
"131 H Street, Blue Lake, CA 95525-0816",Dell'Arte International School of Physical Theatre
"43-500 Monterey Ave, Palm Desert, CA 92260",College of the Desert
"8555 Commerce Ave, San Diego, CA 92121",Design Institute of San Diego
"23500 Kasson Road, Tracy, CA 95378",Kasson Adult School - Deuel Vocational Institution
"321 Golf Club Rd, Pleasant Hill, CA 94523",Diablo Valley College
"50 Acacia Ave, San Rafael, CA 94901-2298",Dominican University of California
"2301 Vine Street, Berkeley, CA 94708-1816",Dominican School of Philosophy and Theology
"1151 San Gabriel Blvd, Rosemead, CA 91770-4299",Don Bosco Technical Institute
"1301 Ave Cesar Chavez, Monterey Park, CA 91754-6099",East Los Angeles College
"2100 Marengo Street, Los Angeles, CA 90033",East Los Angeles Occupational Center
"955 Monroe Street, Santa Clara, CA 95050",Marinello School of Beauty - Santa Clara
"4343 Ocean View Blvd, San Diego, CA 92113",SDCCD Continuing Education
"16007 Crenshaw Blvd, Torrance, CA 90506",El Camino College
"1622 N. Highland Ave, Hollywood, CA 90028-6106",Elegance International
"200 North San Fernando Boulevard, Burbank, CA 91502",Marinello School of Beauty - Burbank
"24741 Alessandro Blvd, Moreno Valley, CA 92553",Marinello School of Beauty - Moreno Valley
"1807-B Wilshire Blvd, Ste #200, Santa Monica, CA 90403",Emperor's College of Traditional Oriental Medicine
"3035 Cleveland Ave, Santa Rosa, CA 95403-2126",Empire College
"3095 Yerba Buena Rd, San Jose, CA 95135-1598",Evergreen Valley College
"919 South Grand Avenue, Los Angeles, CA 90015-1421",FIDM/Fashion Institute of Design & Merchandising
"1923 Morena Blvd, San Diego, CA 92110-3555",Fashion Careers College
"570 Golden Eagle Ave, Quincy, CA 95971-9124",Feather River College
"1515 Sports Drive    Ste 100, Sacramento, CA 95834",Federico Beauty Institute
"2112 Santa Barbara St, Santa Barbara, CA 93105",Fielding Graduate University
"200 7th Avenue, Santa Cruz, CA 95062","Five Branches University:  Graduate School of Traditional Chinese Medicine - Santa Cruz, CA"
"1110 N Tustin St, Orange, CA 92867",Hair California Beauty Academy
"12345 El Monte Rd, Los Altos Hills, CA 94022",Foothill College
"4050 Mission Avenue, Oceanside, CA 92057",Franciscan School of Theology
"831 F St, Eureka, CA 95501",Fredrick and Charles Beauty College
"1101 E. University Ave, Fresno, CA 93741",Fresno City College
"1717 S. Chestnut Ave., Fresno, CA 93702",Fresno Pacific University
"135 N Oakland Ave, Pasadena, CA 91182",Fuller Theological Seminary
"321 E Chapman Avenue, Fullerton, CA 92832-2095",Fullerton College
"1604 Ford Ave, Modesto, CA 95350",Galen College of Medical and Dental Assistants
"1325 N Wishon Ave, Fresno, CA 93728",Galen College of Medical and Dental Assistants
"3908 W Caldwell, Suite A, Vislia, CA 93277",Galen College of Medical and Dental Assistants
"5055 Santa Teresa Blvd, Gilroy, CA 95020",Gavilan College
"5345 Armada Dr, Carlsbad, CA 92008",Gemological Institute of America
"1500 N Verdugo Rd, Glendale, CA 91208-2894",Glendale Community College
"3210 East Guasti Road, Ontario, CA 91761",Gateway Seminary
"536 Mission Street, San Francisco, CA 94105-2968",Golden Gate University
"15744 Golden West, Huntington Beach, CA 92647-2710",Golden West College
"2400 Ridge Rd, Berkeley, CA 94709-1212",Graduate Theological Union
"1100 Murray Drive, El Cajon, CA 92020",Grossmont Adult School
"8800 Grossmont College Dr, El Cajon, CA 92020-1799",Grossmont College
"6780  Indiana Avenue, Suite #200, Riverside, CA 92506",Salon Success Academy - San Bernardino
"740 N Pacific Ave, San Pedro, CA 90731",Harbor Occupational Center
"156 Homestead Ave, Salinas, CA 93901",Hartnell College
"301 Platt Blvd., Claremont, CA 91711-5990",Harvey Mudd College
"6317 Mission St, Daly City, CA 94014",Hilltop Beauty School
"3500 Mountain Blvd, Oakland, CA 94619-1699",Holy Names University
"249 Lambert Rd, Carpinteria, CA 93013",Pacifica Graduate Institute
"1 Harpst Street, Arcata, CA 95521-8299",Humboldt State University
"6650 Inglewood Avenue, Stockton, CA 95207",Humphreys University
"380 E. Aten Road, Imperial, CA 92251-0158",Imperial Valley College
"2400 Walsh Avenue, Santa Clara, CA 95051",Institute for Business and Technology
"10946 Woodside Avenue, North, Santee, CA 92071",ICR Graduate School
"3200 Wilshire Blvd. #400, Los Angeles, CA 90010-1308",LA College International
"1061 Camelback Rd, Newport Beach, CA 92660",Interior Designers Institute
"464 North Fairfax Avenue, Los Angeles, CA 90036",TONI & GUY Hairdressing Academy
"5500 Irvine Center Drive, Irvine, CA 92618-0301",Irvine Valley College
"1073 E Main St, El Cajon, CA 92021",Bellus Academy - El Cajon
"100 Ellinwood Way, Pleasant Hill, CA 94523-4817",John F. Kennedy University
"15600 Mulholland Dr, Los Angeles, CA 90077-1519",American Jewish University
"995 N Reed Ave, Reedley, CA 93654",Reedley College
"1100 W. Covina Blvd, San Dimas, CA 91773",Life Pacific College
"1950 Third St, La Verne, CA 91750",University of La Verne
"2222 Laguna Canyon Rd, Laguna Beach, CA 92651-1136",Laguna College of Art and Design
"One College Drive, South Lake Tahoe, CA 96150",Lake Tahoe Community College
"44646 N 10th St W, Lancaster, CA 93534",Lancaster Beauty School
"900 Fallon St, Oakland, CA 94607",Laney College
"Hwy 139, Susanville, CA 96130",Lassen Community College
"25001 Industrial Blvd., Hayward, CA 94545-2800",Life Chiropractic College-West
"401 15th Street, Oakland, CA 94612-2801",Lincoln University
"2075 E. Madison Avenue, El Cajon, CA 92019-1108",Southern California Seminary
"4500 Riverwalk Parkway, Riverside, CA 92515-8247",La Sierra University
